Source,Target,Type,Kind,Id,Label,timeset,Weight
@carinajns,1046154574019678208,Directed,Tweets,0,,<[2018-09-29T21:47:42.017Z]>,1
1046154574019678208,"#joicefederal1771",Directed,Has_hashtag,1,,<[2018-09-29T21:47:42.017Z]>,1
1046154574019678208,"#bolsonaro17",Directed,Has_hashtag,2,,<[2018-09-29T21:47:42.017Z]>,1
@joicehasselmann,1046142195655495681,Directed,Tweets,3,,"<[2018-09-29T21:47:42.057Z, 2018-09-29T21:47:48.739Z, 2018-09-29T21:47:56.142Z, 2018-09-29T21:48:29.240Z, 2018-09-29T21:48:46.482Z, 2018-09-29T21:48:51.660Z, 2018-09-29T21:49:02.867Z, 2018-09-29T21:49:06.738Z, 2018-09-29T21:49:27.517Z, 2018-09-29T21:49:28.111Z, 2018-09-29T21:49:50.161Z, 2018-09-29T21:49:56.351Z, 2018-09-29T21:50:03.973Z, 2018-09-29T21:50:25.142Z, 2018-09-29T21:50:32.569Z, 2018-09-29T21:50:40.202Z, 2018-09-29T21:50:54.015Z, 2018-09-29T21:50:55.728Z, 2018-09-29T21:51:13.581Z, 2018-09-29T21:51:29.012Z, 2018-09-29T21:51:37.301Z, 2018-09-29T21:51:51.023Z, 2018-09-29T21:52:45.537Z, 2018-09-29T21:52:47.074Z, 2018-09-29T21:52:47.164Z]>",1
1046142195655495681,"#joicefederal1771",Directed,Has_hashtag,4,,"<[2018-09-29T21:47:42.057Z, 2018-09-29T21:47:48.739Z, 2018-09-29T21:47:56.142Z, 2018-09-29T21:48:29.240Z, 2018-09-29T21:48:46.482Z, 2018-09-29T21:48:51.660Z, 2018-09-29T21:49:02.867Z, 2018-09-29T21:49:06.738Z, 2018-09-29T21:49:27.517Z, 2018-09-29T21:49:28.111Z, 2018-09-29T21:49:50.161Z, 2018-09-29T21:49:56.351Z, 2018-09-29T21:50:03.973Z, 2018-09-29T21:50:25.142Z, 2018-09-29T21:50:32.569Z, 2018-09-29T21:50:40.202Z, 2018-09-29T21:50:54.015Z, 2018-09-29T21:50:55.728Z, 2018-09-29T21:51:13.581Z, 2018-09-29T21:51:29.012Z, 2018-09-29T21:51:37.301Z, 2018-09-29T21:51:51.023Z, 2018-09-29T21:52:45.537Z, 2018-09-29T21:52:47.074Z, 2018-09-29T21:52:47.164Z]>",1
1046142195655495681,"#bolsonaro17",Directed,Has_hashtag,5,,"<[2018-09-29T21:47:42.057Z, 2018-09-29T21:47:48.739Z, 2018-09-29T21:47:56.142Z, 2018-09-29T21:48:29.240Z, 2018-09-29T21:48:46.482Z, 2018-09-29T21:48:51.660Z, 2018-09-29T21:49:02.867Z, 2018-09-29T21:49:06.738Z, 2018-09-29T21:49:27.517Z, 2018-09-29T21:49:28.111Z, 2018-09-29T21:49:50.161Z, 2018-09-29T21:49:56.351Z, 2018-09-29T21:50:03.973Z, 2018-09-29T21:50:25.142Z, 2018-09-29T21:50:32.569Z, 2018-09-29T21:50:40.202Z, 2018-09-29T21:50:54.015Z, 2018-09-29T21:50:55.728Z, 2018-09-29T21:51:13.581Z, 2018-09-29T21:51:29.012Z, 2018-09-29T21:51:37.301Z, 2018-09-29T21:51:51.023Z, 2018-09-29T21:52:45.537Z, 2018-09-29T21:52:47.074Z, 2018-09-29T21:52:47.164Z]>",1
1046142195655495681,"#bolsojoice1771",Directed,Has_hashtag,6,,"<[2018-09-29T21:47:42.057Z, 2018-09-29T21:47:48.739Z, 2018-09-29T21:47:56.142Z, 2018-09-29T21:48:29.240Z, 2018-09-29T21:48:46.482Z, 2018-09-29T21:48:51.660Z, 2018-09-29T21:49:02.867Z, 2018-09-29T21:49:06.738Z, 2018-09-29T21:49:27.517Z, 2018-09-29T21:49:28.111Z, 2018-09-29T21:49:50.161Z, 2018-09-29T21:49:56.351Z, 2018-09-29T21:50:03.973Z, 2018-09-29T21:50:25.142Z, 2018-09-29T21:50:32.569Z, 2018-09-29T21:50:40.202Z, 2018-09-29T21:50:54.015Z, 2018-09-29T21:50:55.728Z, 2018-09-29T21:51:13.581Z, 2018-09-29T21:51:29.012Z, 2018-09-29T21:51:37.301Z, 2018-09-29T21:51:51.023Z, 2018-09-29T21:52:45.537Z, 2018-09-29T21:52:47.074Z, 2018-09-29T21:52:47.164Z]>",1
1046142195655495681,"#elesim",Directed,Has_hashtag,7,,"<[2018-09-29T21:47:42.057Z, 2018-09-29T21:47:48.739Z, 2018-09-29T21:47:56.142Z, 2018-09-29T21:48:29.240Z, 2018-09-29T21:48:46.482Z, 2018-09-29T21:48:51.660Z, 2018-09-29T21:49:02.867Z, 2018-09-29T21:49:06.738Z, 2018-09-29T21:49:27.517Z, 2018-09-29T21:49:28.111Z, 2018-09-29T21:49:50.161Z, 2018-09-29T21:49:56.351Z, 2018-09-29T21:50:03.973Z, 2018-09-29T21:50:25.142Z, 2018-09-29T21:50:32.569Z, 2018-09-29T21:50:40.202Z, 2018-09-29T21:50:54.015Z, 2018-09-29T21:50:55.728Z, 2018-09-29T21:51:13.581Z, 2018-09-29T21:51:29.012Z, 2018-09-29T21:51:37.301Z, 2018-09-29T21:51:51.023Z, 2018-09-29T21:52:45.537Z, 2018-09-29T21:52:47.074Z, 2018-09-29T21:52:47.164Z]>",1
1046142195655495681,"#saopaulo",Directed,Has_hashtag,8,,"<[2018-09-29T21:47:42.057Z, 2018-09-29T21:47:48.739Z, 2018-09-29T21:47:56.142Z, 2018-09-29T21:48:29.240Z, 2018-09-29T21:48:46.482Z, 2018-09-29T21:48:51.660Z, 2018-09-29T21:49:02.867Z, 2018-09-29T21:49:06.738Z, 2018-09-29T21:49:27.517Z, 2018-09-29T21:49:28.111Z, 2018-09-29T21:49:50.161Z, 2018-09-29T21:49:56.351Z, 2018-09-29T21:50:03.973Z, 2018-09-29T21:50:25.142Z, 2018-09-29T21:50:32.569Z, 2018-09-29T21:50:40.202Z, 2018-09-29T21:50:54.015Z, 2018-09-29T21:50:55.728Z, 2018-09-29T21:51:13.581Z, 2018-09-29T21:51:29.012Z, 2018-09-29T21:51:37.301Z, 2018-09-29T21:51:51.023Z, 2018-09-29T21:52:45.537Z, 2018-09-29T21:52:47.074Z, 2018-09-29T21:52:47.164Z]>",1
1046142195655495681,http://pbs.twimg.com/ext_tw_video_thumb/1046141999257202689/pu/img/K_HG48cwOCzJz5j7.jpg,Directed,Has_media,9,,"<[2018-09-29T21:47:42.057Z, 2018-09-29T21:47:48.739Z, 2018-09-29T21:47:56.142Z, 2018-09-29T21:48:29.240Z, 2018-09-29T21:48:46.482Z, 2018-09-29T21:48:51.660Z, 2018-09-29T21:49:02.867Z, 2018-09-29T21:49:06.738Z, 2018-09-29T21:49:27.517Z, 2018-09-29T21:49:28.111Z, 2018-09-29T21:49:50.161Z, 2018-09-29T21:49:56.351Z, 2018-09-29T21:50:03.973Z, 2018-09-29T21:50:25.142Z, 2018-09-29T21:50:32.569Z, 2018-09-29T21:50:40.202Z, 2018-09-29T21:50:54.015Z, 2018-09-29T21:50:55.728Z, 2018-09-29T21:51:13.581Z, 2018-09-29T21:51:29.012Z, 2018-09-29T21:51:37.301Z, 2018-09-29T21:51:51.023Z, 2018-09-29T21:52:45.537Z, 2018-09-29T21:52:47.074Z, 2018-09-29T21:52:47.164Z]>",1
@carinajns,@joicehasselmann,Directed,Retweets_from,10,,<[2018-09-29T21:47:42.057Z]>,1
@carinajns,1046142195655495681,Directed,Retweets,11,,<[2018-09-29T21:47:42.057Z]>,1
@hebert1santo,1046154574657187841,Directed,Tweets,12,,<[2018-09-29T21:47:42.139Z]>,1
@observadoradacf,1046154575651180547,Directed,Tweets,13,,<[2018-09-29T21:47:42.432Z]>,1
@respostapolitca,1046154574036455424,Directed,Tweets,14,,<[2018-09-29T21:47:42.463Z]>,1
1046154574036455424,"#bolsonaro17",Directed,Has_hashtag,15,,<[2018-09-29T21:47:42.463Z]>,1
1046154574036455424,"#todoscombolsonaro",Directed,Has_hashtag,16,,<[2018-09-29T21:47:42.463Z]>,1
1046154574036455424,http://pbs.twimg.com/ext_tw_video_thumb/1046154554918817792/pu/img/Le4yZUkELbFvmJwv.jpg,Directed,Has_media,17,,<[2018-09-29T21:47:42.463Z]>,1
@leandro28216585,1046154576360087553,Directed,Tweets,18,,<[2018-09-29T21:47:42.607Z]>,1
@rosana_alfaro,1046154576515272704,Directed,Tweets,19,,<[2018-09-29T21:47:42.615Z]>,1
1046154576515272704,@luizmarinhopt,Directed,Has_mention,20,,<[2018-09-29T21:47:42.615Z]>,1
1046154576515272704,@haddad_fernando,Directed,Has_mention,21,,<[2018-09-29T21:47:42.615Z]>,1
1046154576515272704,"#marinhogovernador13",Directed,Has_hashtag,22,,<[2018-09-29T21:47:42.615Z]>,1
@momentsbrasil,1046080685805580289,Directed,Tweets,23,,<[2018-09-29T21:47:42.617Z]>,1
1046080685805580289,https://twitter.com/i/moments/1046071028303220737,Directed,Has_link,24,,<[2018-09-29T21:47:42.617Z]>,1
@rosana_alfaro,@momentsbrasil,Directed,Quotes_from,25,,<[2018-09-29T21:47:42.617Z]>,1
@rosana_alfaro,1046080685805580289,Directed,Quotes,26,,<[2018-09-29T21:47:42.617Z]>,1
@renanoliveii,1046154577219858432,Directed,Tweets,27,,<[2018-09-29T21:47:42.809Z]>,1
@sandraterencio,1046154578067169281,Directed,Tweets,28,,<[2018-09-29T21:47:43.000Z]>,1
1046154578067169281,"#b17",Directed,Has_hashtag,29,,<[2018-09-29T21:47:43.000Z]>,1
1046154578067169281,"#bolsonaropresidente",Directed,Has_hashtag,30,,<[2018-09-29T21:47:43.000Z]>,1
@wagnersl7,1046154578016837632,Directed,Tweets,31,,<[2018-09-29T21:47:43.003Z]>,1
@adonaypcbg,1046154579241586688,Directed,Tweets,32,,<[2018-09-29T21:47:43.227Z]>,1
@dedegomes72,1046026388510298112,Directed,Tweets,33,,<[2018-09-29T21:47:43.229Z]>,1
@adonaypcbg,@dedegomes72,Directed,Retweets_from,34,,<[2018-09-29T21:47:43.229Z]>,1
@adonaypcbg,1046026388510298112,Directed,Retweets,35,,<[2018-09-29T21:47:43.229Z]>,1
@ro_leovegildo,1046154580155863045,Directed,Tweets,36,,<[2018-09-29T21:47:43.482Z]>,1
1046154580155863045,"#bolsonaro",Directed,Has_hashtag,37,,<[2018-09-29T21:47:43.482Z]>,1
1046154580155863045,"#bolsonaro17eleito1oturno",Directed,Has_hashtag,38,,<[2018-09-29T21:47:43.482Z]>,1
@patricialenz49,1046115459802820614,Directed,Tweets,39,,"<[2018-09-29T21:47:43.483Z, 2018-09-29T21:50:40.133Z, 2018-09-29T21:50:47.390Z]>",1
1046115459802820614,"#bolsonaro",Directed,Has_hashtag,40,,"<[2018-09-29T21:47:43.483Z, 2018-09-29T21:50:40.133Z, 2018-09-29T21:50:47.390Z]>",1
1046115459802820614,"#bolsonaro17eleito1oturno",Directed,Has_hashtag,41,,"<[2018-09-29T21:47:43.483Z, 2018-09-29T21:50:40.133Z, 2018-09-29T21:50:47.390Z]>",1
1046115459802820614,http://pbs.twimg.com/ext_tw_video_thumb/1046115399971074048/pu/img/RCeBo2MRYO2fnr7n.jpg,Directed,Has_media,42,,"<[2018-09-29T21:47:43.483Z, 2018-09-29T21:50:40.133Z, 2018-09-29T21:50:47.390Z]>",1
@ro_leovegildo,@patricialenz49,Directed,Retweets_from,43,,<[2018-09-29T21:47:43.483Z]>,1
@ro_leovegildo,1046115459802820614,Directed,Retweets,44,,<[2018-09-29T21:47:43.483Z]>,1
@denisevesta,1046154580176904192,Directed,Tweets,45,,<[2018-09-29T21:47:43.490Z]>,1
@alexand43899611,1046154062734012418,Directed,Tweets,46,,<[2018-09-29T21:47:43.491Z]>,1
1046154062734012418,"#todoscombolsonaro",Directed,Has_hashtag,47,,<[2018-09-29T21:47:43.491Z]>,1
1046154062734012418,"#elesimeno1turno",Directed,Has_hashtag,48,,<[2018-09-29T21:47:43.491Z]>,1
@denisevesta,@alexand43899611,Directed,Retweets_from,49,,<[2018-09-29T21:47:43.491Z]>,1
