Source,Target,Type,Kind,Id,Label,timeset,Weight
@oamanh1,1044392352767528961,Directed,Tweets,0,,<[2018-09-25T01:05:15.843Z]>,1
@cirogomes,1044391150407299072,Directed,Tweets,1,,"<[2018-09-25T01:05:15.903Z, 2018-09-25T01:05:16.078Z, 2018-09-25T01:05:16.339Z, 2018-09-25T01:05:19.112Z, 2018-09-25T01:05:28.269Z, 2018-09-25T01:05:30.928Z, 2018-09-25T01:05:43.182Z, 2018-09-25T01:05:50.492Z, 2018-09-25T01:05:50.590Z, 2018-09-25T01:05:59.049Z, 2018-09-25T01:06:00.857Z, 2018-09-25T01:06:02.052Z, 2018-09-25T01:06:02.222Z, 2018-09-25T01:06:06.543Z, 2018-09-25T01:06:07.078Z, 2018-09-25T01:06:10.661Z, 2018-09-25T01:06:35.647Z, 2018-09-25T01:06:40.100Z, 2018-09-25T01:06:43.698Z, 2018-09-25T01:06:50.217Z, 2018-09-25T01:06:56.595Z, 2018-09-25T01:07:08.508Z, 2018-09-25T01:07:12.047Z, 2018-09-25T01:07:22.966Z, 2018-09-25T01:07:37.264Z, 2018-09-25T01:07:52.093Z, 2018-09-25T01:08:02.983Z, 2018-09-25T01:08:06.339Z, 2018-09-25T01:08:08.079Z, 2018-09-25T01:08:28.004Z, 2018-09-25T01:08:43.502Z, 2018-09-25T01:08:50.977Z, 2018-09-25T01:08:58.159Z, 2018-09-25T01:09:27.339Z, 2018-09-25T01:09:29.034Z, 2018-09-25T01:09:32.029Z, 2018-09-25T01:09:39.835Z, 2018-09-25T01:09:40.504Z, 2018-09-25T01:09:54.439Z, 2018-09-25T01:09:56.213Z, 2018-09-25T01:10:06.290Z, 2018-09-25T01:10:07.466Z, 2018-09-25T01:10:10.383Z, 2018-09-25T01:10:13.617Z, 2018-09-25T01:10:14.134Z, 2018-09-25T01:10:17.068Z, 2018-09-25T01:10:38.169Z, 2018-09-25T01:10:43.758Z, 2018-09-25T01:10:44.777Z, 2018-09-25T01:10:46.269Z, 2018-09-25T01:10:47.754Z, 2018-09-25T01:11:01.615Z, 2018-09-25T01:11:07.220Z, 2018-09-25T01:11:20.043Z, 2018-09-25T01:11:28.973Z, 2018-09-25T01:11:32.880Z, 2018-09-25T01:11:45.232Z]>",1
1044391150407299072,"#ciro12",Directed,Has_hashtag,2,,"<[2018-09-25T01:05:15.903Z, 2018-09-25T01:05:16.078Z, 2018-09-25T01:05:16.339Z, 2018-09-25T01:05:19.112Z, 2018-09-25T01:05:28.269Z, 2018-09-25T01:05:30.928Z, 2018-09-25T01:05:43.182Z, 2018-09-25T01:05:50.492Z, 2018-09-25T01:05:50.590Z, 2018-09-25T01:05:59.049Z, 2018-09-25T01:06:00.857Z, 2018-09-25T01:06:02.052Z, 2018-09-25T01:06:02.222Z, 2018-09-25T01:06:06.543Z, 2018-09-25T01:06:07.078Z, 2018-09-25T01:06:10.661Z, 2018-09-25T01:06:35.647Z, 2018-09-25T01:06:40.100Z, 2018-09-25T01:06:43.698Z, 2018-09-25T01:06:50.217Z, 2018-09-25T01:06:56.595Z, 2018-09-25T01:07:08.508Z, 2018-09-25T01:07:12.047Z, 2018-09-25T01:07:22.966Z, 2018-09-25T01:07:37.264Z, 2018-09-25T01:07:52.093Z, 2018-09-25T01:08:02.983Z, 2018-09-25T01:08:06.339Z, 2018-09-25T01:08:08.079Z, 2018-09-25T01:08:28.004Z, 2018-09-25T01:08:43.502Z, 2018-09-25T01:08:50.977Z, 2018-09-25T01:08:58.159Z, 2018-09-25T01:09:27.339Z, 2018-09-25T01:09:29.034Z, 2018-09-25T01:09:32.029Z, 2018-09-25T01:09:39.835Z, 2018-09-25T01:09:40.504Z, 2018-09-25T01:09:54.439Z, 2018-09-25T01:09:56.213Z, 2018-09-25T01:10:06.290Z, 2018-09-25T01:10:07.466Z, 2018-09-25T01:10:10.383Z, 2018-09-25T01:10:13.617Z, 2018-09-25T01:10:14.134Z, 2018-09-25T01:10:17.068Z, 2018-09-25T01:10:38.169Z, 2018-09-25T01:10:43.758Z, 2018-09-25T01:10:44.777Z, 2018-09-25T01:10:46.269Z, 2018-09-25T01:10:47.754Z, 2018-09-25T01:11:01.615Z, 2018-09-25T01:11:07.220Z, 2018-09-25T01:11:20.043Z, 2018-09-25T01:11:28.973Z, 2018-09-25T01:11:32.880Z, 2018-09-25T01:11:45.232Z]>",1
1044391150407299072,"#ciropresidente",Directed,Has_hashtag,3,,"<[2018-09-25T01:05:15.903Z, 2018-09-25T01:05:16.078Z, 2018-09-25T01:05:16.339Z, 2018-09-25T01:05:19.112Z, 2018-09-25T01:05:28.269Z, 2018-09-25T01:05:30.928Z, 2018-09-25T01:05:43.182Z, 2018-09-25T01:05:50.492Z, 2018-09-25T01:05:50.590Z, 2018-09-25T01:05:59.049Z, 2018-09-25T01:06:00.857Z, 2018-09-25T01:06:02.052Z, 2018-09-25T01:06:02.222Z, 2018-09-25T01:06:06.543Z, 2018-09-25T01:06:07.078Z, 2018-09-25T01:06:10.661Z, 2018-09-25T01:06:35.647Z, 2018-09-25T01:06:40.100Z, 2018-09-25T01:06:43.698Z, 2018-09-25T01:06:50.217Z, 2018-09-25T01:06:56.595Z, 2018-09-25T01:07:08.508Z, 2018-09-25T01:07:12.047Z, 2018-09-25T01:07:22.966Z, 2018-09-25T01:07:37.264Z, 2018-09-25T01:07:52.093Z, 2018-09-25T01:08:02.983Z, 2018-09-25T01:08:06.339Z, 2018-09-25T01:08:08.079Z, 2018-09-25T01:08:28.004Z, 2018-09-25T01:08:43.502Z, 2018-09-25T01:08:50.977Z, 2018-09-25T01:08:58.159Z, 2018-09-25T01:09:27.339Z, 2018-09-25T01:09:29.034Z, 2018-09-25T01:09:32.029Z, 2018-09-25T01:09:39.835Z, 2018-09-25T01:09:40.504Z, 2018-09-25T01:09:54.439Z, 2018-09-25T01:09:56.213Z, 2018-09-25T01:10:06.290Z, 2018-09-25T01:10:07.466Z, 2018-09-25T01:10:10.383Z, 2018-09-25T01:10:13.617Z, 2018-09-25T01:10:14.134Z, 2018-09-25T01:10:17.068Z, 2018-09-25T01:10:38.169Z, 2018-09-25T01:10:43.758Z, 2018-09-25T01:10:44.777Z, 2018-09-25T01:10:46.269Z, 2018-09-25T01:10:47.754Z, 2018-09-25T01:11:01.615Z, 2018-09-25T01:11:07.220Z, 2018-09-25T01:11:20.043Z, 2018-09-25T01:11:28.973Z, 2018-09-25T01:11:32.880Z, 2018-09-25T01:11:45.232Z]>",1
1044391150407299072,http://pbs.twimg.com/ext_tw_video_thumb/1044391100243337216/pu/img/JMh2HcS4iODsjW6D.jpg,Directed,Has_media,4,,"<[2018-09-25T01:05:15.903Z, 2018-09-25T01:05:16.078Z, 2018-09-25T01:05:16.339Z, 2018-09-25T01:05:19.112Z, 2018-09-25T01:05:28.269Z, 2018-09-25T01:05:30.928Z, 2018-09-25T01:05:43.182Z, 2018-09-25T01:05:50.492Z, 2018-09-25T01:05:50.590Z, 2018-09-25T01:05:59.049Z, 2018-09-25T01:06:00.857Z, 2018-09-25T01:06:02.052Z, 2018-09-25T01:06:02.222Z, 2018-09-25T01:06:06.543Z, 2018-09-25T01:06:07.078Z, 2018-09-25T01:06:10.661Z, 2018-09-25T01:06:35.647Z, 2018-09-25T01:06:40.100Z, 2018-09-25T01:06:43.698Z, 2018-09-25T01:06:50.217Z, 2018-09-25T01:06:56.595Z, 2018-09-25T01:07:08.508Z, 2018-09-25T01:07:12.047Z, 2018-09-25T01:07:22.966Z, 2018-09-25T01:07:37.264Z, 2018-09-25T01:07:52.093Z, 2018-09-25T01:08:02.983Z, 2018-09-25T01:08:06.339Z, 2018-09-25T01:08:08.079Z, 2018-09-25T01:08:28.004Z, 2018-09-25T01:08:43.502Z, 2018-09-25T01:08:50.977Z, 2018-09-25T01:08:58.159Z, 2018-09-25T01:09:27.339Z, 2018-09-25T01:09:29.034Z, 2018-09-25T01:09:32.029Z, 2018-09-25T01:09:39.835Z, 2018-09-25T01:09:40.504Z, 2018-09-25T01:09:54.439Z, 2018-09-25T01:09:56.213Z, 2018-09-25T01:10:06.290Z, 2018-09-25T01:10:07.466Z, 2018-09-25T01:10:10.383Z, 2018-09-25T01:10:13.617Z, 2018-09-25T01:10:14.134Z, 2018-09-25T01:10:17.068Z, 2018-09-25T01:10:38.169Z, 2018-09-25T01:10:43.758Z, 2018-09-25T01:10:44.777Z, 2018-09-25T01:10:46.269Z, 2018-09-25T01:10:47.754Z, 2018-09-25T01:11:01.615Z, 2018-09-25T01:11:07.220Z, 2018-09-25T01:11:20.043Z, 2018-09-25T01:11:28.973Z, 2018-09-25T01:11:32.880Z, 2018-09-25T01:11:45.232Z]>",1
@oamanh1,@cirogomes,Directed,Retweets_from,5,,<[2018-09-25T01:05:15.903Z]>,1
@oamanh1,1044391150407299072,Directed,Retweets,6,,<[2018-09-25T01:05:15.903Z]>,1
@ericfpaula,1044392354113818626,Directed,Tweets,7,,<[2018-09-25T01:05:16.035Z]>,1
@cris_guarini,1044386489231183872,Directed,Tweets,8,,"<[2018-09-25T01:05:16.037Z, 2018-09-25T01:05:59.679Z, 2018-09-25T01:06:14.437Z, 2018-09-25T01:06:45.429Z, 2018-09-25T01:07:08.599Z, 2018-09-25T01:08:09.559Z]>",1
1044386489231183872,"#joaocom6",Directed,Has_hashtag,9,,"<[2018-09-25T01:05:16.037Z, 2018-09-25T01:05:59.679Z, 2018-09-25T01:06:14.437Z, 2018-09-25T01:06:45.429Z, 2018-09-25T01:07:08.599Z, 2018-09-25T01:08:09.559Z]>",1
