Source,Target,Type,Kind,Id,Label,timeset,Weight
@alexhirs,1036678397840240640,Directed,Tweets,0,,<[2018-09-03T18:12:45.615Z]>,1
@rhane92983107,1036678405415231493,Directed,Tweets,1,,<[2018-09-03T18:12:47.427Z]>,1
@nadia1monteiro,1036678412524511232,Directed,Tweets,2,,<[2018-09-03T18:12:49.183Z]>,1
1036678412524511232,"#mulherescombolsonaro",Directed,Has_hashtag,3,,<[2018-09-03T18:12:49.183Z]>,1
1036678412524511232,"#bolsonaropresidente17",Directed,Has_hashtag,4,,<[2018-09-03T18:12:49.183Z]>,1
1036678412524511232,"#somosumexército",Directed,Has_hashtag,5,,<[2018-09-03T18:12:49.183Z]>,1
1036678412524511232,https://twitter.com/nadia1monteiro/status/1036611587317137409,Directed,Has_link,6,,<[2018-09-03T18:12:49.183Z]>,1
@faticapal,1036677313071652865,Directed,Tweets,7,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.302Z]>",1
1036677313071652865,"#mulherescombolsonaro",Directed,Has_hashtag,8,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.302Z]>",1
1036677313071652865,"#bolsonaropresidente17",Directed,Has_hashtag,9,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.302Z]>",1
1036677313071652865,"#somosumexército",Directed,Has_hashtag,10,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.302Z]>",1
1036677313071652865,https://twitter.com/nadia1monteiro/status/1036611587317137409,Directed,Has_link,11,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.302Z]>",1
@nadia1monteiro,1036611587317137409,Directed,Tweets,12,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:12:49.185Z, 2018-09-03T18:15:06.641Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.303Z, 2018-09-03T18:19:39.651Z, 2018-09-03T18:19:40.678Z, 2018-09-03T18:26:02.867Z, 2018-09-03T18:30:23.719Z, 2018-09-03T18:32:13.287Z, 2018-09-03T18:32:37.951Z, 2018-09-03T18:32:38.075Z, 2018-09-03T18:33:38.572Z, 2018-09-03T18:36:59.779Z, 2018-09-03T18:37:50.774Z]>",1
1036611587317137409,"#mulherescombolsonaro",Directed,Has_hashtag,13,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:12:49.185Z, 2018-09-03T18:15:06.641Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.303Z, 2018-09-03T18:19:39.651Z, 2018-09-03T18:19:40.678Z, 2018-09-03T18:26:02.867Z, 2018-09-03T18:30:23.719Z, 2018-09-03T18:32:13.287Z, 2018-09-03T18:32:37.951Z, 2018-09-03T18:32:38.075Z, 2018-09-03T18:33:38.572Z, 2018-09-03T18:36:59.779Z, 2018-09-03T18:37:50.774Z]>",1
1036611587317137409,http://pbs.twimg.com/media/DmLIuChX0AAiNJB.jpg,Directed,Has_media,14,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:12:49.185Z, 2018-09-03T18:15:06.641Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.303Z, 2018-09-03T18:19:39.651Z, 2018-09-03T18:19:40.678Z, 2018-09-03T18:26:02.867Z, 2018-09-03T18:30:23.719Z, 2018-09-03T18:32:13.287Z, 2018-09-03T18:32:37.951Z, 2018-09-03T18:32:38.075Z, 2018-09-03T18:33:38.572Z, 2018-09-03T18:36:59.779Z, 2018-09-03T18:37:50.774Z]>",1
1036611587317137409,http://pbs.twimg.com/media/DmLIuChXsAAAUCG.jpg,Directed,Has_media,15,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:12:49.185Z, 2018-09-03T18:15:06.641Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.303Z, 2018-09-03T18:19:39.651Z, 2018-09-03T18:19:40.678Z, 2018-09-03T18:26:02.867Z, 2018-09-03T18:30:23.719Z, 2018-09-03T18:32:13.287Z, 2018-09-03T18:32:37.951Z, 2018-09-03T18:32:38.075Z, 2018-09-03T18:33:38.572Z, 2018-09-03T18:36:59.779Z, 2018-09-03T18:37:50.774Z]>",1
1036611587317137409,http://pbs.twimg.com/media/DmLIuCiXgAEm2t2.jpg,Directed,Has_media,16,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:12:49.185Z, 2018-09-03T18:15:06.641Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.303Z, 2018-09-03T18:19:39.651Z, 2018-09-03T18:19:40.678Z, 2018-09-03T18:26:02.867Z, 2018-09-03T18:30:23.719Z, 2018-09-03T18:32:13.287Z, 2018-09-03T18:32:37.951Z, 2018-09-03T18:32:38.075Z, 2018-09-03T18:33:38.572Z, 2018-09-03T18:36:59.779Z, 2018-09-03T18:37:50.774Z]>",1
1036611587317137409,http://pbs.twimg.com/media/DmLIuCmX4AA1ky6.jpg,Directed,Has_media,17,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:12:49.185Z, 2018-09-03T18:15:06.641Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.303Z, 2018-09-03T18:19:39.651Z, 2018-09-03T18:19:40.678Z, 2018-09-03T18:26:02.867Z, 2018-09-03T18:30:23.719Z, 2018-09-03T18:32:13.287Z, 2018-09-03T18:32:37.951Z, 2018-09-03T18:32:38.075Z, 2018-09-03T18:33:38.572Z, 2018-09-03T18:36:59.779Z, 2018-09-03T18:37:50.774Z]>",1
@faticapal,@nadia1monteiro,Directed,Quotes_from,18,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.303Z]>",1
@faticapal,1036611587317137409,Directed,Quotes,19,,"<[2018-09-03T18:12:49.184Z, 2018-09-03T18:17:15.796Z, 2018-09-03T18:18:55.303Z]>",1
@nadia1monteiro,@faticapal,Directed,Retweets_from,20,,<[2018-09-03T18:12:49.184Z]>,1
@nadia1monteiro,1036677313071652865,Directed,Retweets,21,,<[2018-09-03T18:12:49.184Z]>,1
@nadia1monteiro,@nadia1monteiro,Directed,Quotes_from,22,,<[2018-09-03T18:12:49.185Z]>,1
@nadia1monteiro,1036611587317137409,Directed,Quotes,23,,<[2018-09-03T18:12:49.185Z]>,1
@udontmind_,1036678421496127488,Directed,Tweets,24,,<[2018-09-03T18:12:51.262Z]>,1
1036678421496127488,@cirogomes,Directed,Has_mention,25,,<[2018-09-03T18:12:51.262Z]>,1
@cirosugarpainho,1036108892839845888,Directed,Tweets,26,,<[2018-09-03T18:12:51.264Z]>,1
1036108892839845888,http://pbs.twimg.com/ext_tw_video_thumb/1036105634440200194/pu/img/QvS0rBeOG3lnvrBV.jpg,Directed,Has_media,27,,<[2018-09-03T18:12:51.264Z]>,1
@udontmind_,@cirosugarpainho,Directed,Quotes_from,28,,<[2018-09-03T18:12:51.264Z]>,1
@udontmind_,1036108892839845888,Directed,Quotes,29,,<[2018-09-03T18:12:51.264Z]>,1
@akanicollas,1036678425480712192,Directed,Tweets,30,,<[2018-09-03T18:12:52.282Z]>,1
@marcelotas,1036431444191727616,Directed,Tweets,31,,"<[2018-09-03T18:12:52.285Z, 2018-09-03T18:12:53.153Z, 2018-09-03T18:13:05.354Z, 2018-09-03T18:13:05.356Z, 2018-09-03T18:13:20.932Z, 2018-09-03T18:13:24.462Z, 2018-09-03T18:13:34.243Z, 2018-09-03T18:13:37.152Z, 2018-09-03T18:13:44.445Z, 2018-09-03T18:13:49.683Z, 2018-09-03T18:13:49.684Z, 2018-09-03T18:13:56.151Z, 2018-09-03T18:14:08.571Z, 2018-09-03T18:14:09.104Z, 2018-09-03T18:14:17.434Z, 2018-09-03T18:14:46.368Z, 2018-09-03T18:15:04.416Z, 2018-09-03T18:15:04.417Z, 2018-09-03T18:15:04.645Z, 2018-09-03T18:15:11.158Z, 2018-09-03T18:15:18.832Z, 2018-09-03T18:15:19.323Z, 2018-09-03T18:15:19.382Z, 2018-09-03T18:15:25.574Z, 2018-09-03T18:15:48.169Z, 2018-09-03T18:15:53.533Z, 2018-09-03T18:15:56.519Z, 2018-09-03T18:16:34.907Z, 2018-09-03T18:16:43.769Z, 2018-09-03T18:16:49.798Z, 2018-09-03T18:16:56.348Z, 2018-09-03T18:17:11.382Z, 2018-09-03T18:17:19.535Z, 2018-09-03T18:17:25.611Z, 2018-09-03T18:17:26.793Z, 2018-09-03T18:17:36.025Z, 2018-09-03T18:17:40.883Z, 2018-09-03T18:17:48.200Z, 2018-09-03T18:18:08.708Z, 2018-09-03T18:18:19.337Z, 2018-09-03T18:19:04.424Z, 2018-09-03T18:19:06.207Z, 2018-09-03T18:19:20.756Z, 2018-09-03T18:19:42.347Z, 2018-09-03T18:19:53.862Z, 2018-09-03T18:20:12.281Z, 2018-09-03T18:20:19.883Z, 2018-09-03T18:20:23.107Z, 2018-09-03T18:20:32.135Z, 2018-09-03T18:20:44.399Z, 2018-09-03T18:20:46.582Z, 2018-09-03T18:20:49.055Z, 2018-09-03T18:20:59.498Z, 2018-09-03T18:21:16.499Z, 2018-09-03T18:21:29.058Z, 2018-09-03T18:21:35.233Z, 2018-09-03T18:21:38.671Z, 2018-09-03T18:21:38.905Z, 2018-09-03T18:21:52.666Z, 2018-09-03T18:22:24.061Z, 2018-09-03T18:22:24.768Z, 2018-09-03T18:22:47.736Z, 2018-09-03T18:22:56.543Z, 2018-09-03T18:23:04.598Z, 2018-09-03T18:23:07.729Z, 2018-09-03T18:23:57.846Z, 2018-09-03T18:24:28.473Z, 2018-09-03T18:24:33.828Z, 2018-09-03T18:24:51.053Z, 2018-09-03T18:24:52.431Z, 2018-09-03T18:25:24.815Z, 2018-09-03T18:25:32.342Z, 2018-09-03T18:25:32.478Z, 2018-09-03T18:25:43.008Z, 2018-09-03T18:25:45.875Z, 2018-09-03T18:25:50.642Z, 2018-09-03T18:25:53.734Z, 2018-09-03T18:26:03.201Z, 2018-09-03T18:26:08.065Z, 2018-09-03T18:26:14.439Z, 2018-09-03T18:26:17.745Z, 2018-09-03T18:26:21.629Z, 2018-09-03T18:26:29.372Z, 2018-09-03T18:26:31.898Z, 2018-09-03T18:26:34.692Z, 2018-09-03T18:27:03.617Z, 2018-09-03T18:27:04.398Z, 2018-09-03T18:27:11.363Z, 2018-09-03T18:27:13.828Z, 2018-09-03T18:27:21.352Z, 2018-09-03T18:27:25.454Z, 2018-09-03T18:27:49.094Z, 2018-09-03T18:27:57.993Z, 2018-09-03T18:28:03.110Z, 2018-09-03T18:28:14.339Z, 2018-09-03T18:28:14.340Z, 2018-09-03T18:28:17.316Z, 2018-09-03T18:28:19.828Z, 2018-09-03T18:28:21.077Z, 2018-09-03T18:28:36.278Z, 2018-09-03T18:29:14.171Z, 2018-09-03T18:29:24.514Z, 2018-09-03T18:29:35.375Z, 2018-09-03T18:29:50.587Z, 2018-09-03T18:30:06.499Z, 2018-09-03T18:30:07.227Z, 2018-09-03T18:30:20.525Z, 2018-09-03T18:30:59.708Z, 2018-09-03T18:31:19.210Z, 2018-09-03T18:31:44.271Z, 2018-09-03T18:32:04.173Z, 2018-09-03T18:32:05.270Z, 2018-09-03T18:32:08.428Z, 2018-09-03T18:32:13.438Z, 2018-09-03T18:32:17.167Z, 2018-09-03T18:32:17.813Z, 2018-09-03T18:32:19.237Z, 2018-09-03T18:32:19.997Z, 2018-09-03T18:32:24.708Z, 2018-09-03T18:32:31.263Z, 2018-09-03T18:33:00.361Z, 2018-09-03T18:33:32.283Z, 2018-09-03T18:33:36.374Z, 2018-09-03T18:34:18.178Z, 2018-09-03T18:34:29.636Z, 2018-09-03T18:34:38.920Z, 2018-09-03T18:34:43.072Z, 2018-09-03T18:34:57.530Z, 2018-09-03T18:35:01.465Z, 2018-09-03T18:35:30.398Z, 2018-09-03T18:35:55.528Z, 2018-09-03T18:36:19.752Z, 2018-09-03T18:36:24.274Z, 2018-09-03T18:36:35.677Z, 2018-09-03T18:36:38.641Z, 2018-09-03T18:36:42.930Z, 2018-09-03T18:36:55.165Z, 2018-09-03T18:37:00.346Z, 2018-09-03T18:37:04.382Z, 2018-09-03T18:37:04.631Z, 2018-09-03T18:37:06.709Z, 2018-09-03T18:37:07.618Z, 2018-09-03T18:37:22.359Z, 2018-09-03T18:37:24.189Z, 2018-09-03T18:37:32.840Z, 2018-09-03T18:37:36.805Z, 2018-09-03T18:38:10.398Z, 2018-09-03T18:38:16.699Z, 2018-09-03T18:38:23.519Z, 2018-09-03T18:38:35.206Z, 2018-09-03T18:38:37.854Z]>",1
