Source,Target,Type,Kind,Id,Label,timeset,Weight
@oipanue,1047079572842434562,Directed,Tweets,0,,<[2018-10-02T11:03:18.988Z]>,1
1047079572842434562,http://pbs.twimg.com/ext_tw_video_thumb/1047064861644115968/pu/img/RmpTma6qG0k1OKA3.jpg,Directed,Has_media,1,,<[2018-10-02T11:03:18.988Z]>,1
@gfrreis,1047065981749776384,Directed,Tweets,2,,<[2018-10-02T11:03:19.026Z]>,1
1047065981749776384,http://pbs.twimg.com/ext_tw_video_thumb/1047064861644115968/pu/img/RmpTma6qG0k1OKA3.jpg,Directed,Has_media,3,,<[2018-10-02T11:03:19.026Z]>,1
@oipanue,@gfrreis,Directed,Retweets_from,4,,<[2018-10-02T11:03:19.026Z]>,1
@oipanue,1047065981749776384,Directed,Retweets,5,,<[2018-10-02T11:03:19.026Z]>,1
@mayarabarros19,1047079574541094913,Directed,Tweets,6,,<[2018-10-02T11:03:19.322Z]>,1
@myrioliveira,1047079304235032576,Directed,Tweets,7,,"<[2018-10-02T11:03:19.322Z, 2018-10-02T11:03:26.816Z]>",1
1047079304235032576,https://twitter.com/georgmarques/status/1046914313859076096,Directed,Has_link,8,,"<[2018-10-02T11:03:19.322Z, 2018-10-02T11:03:26.816Z]>",1
@georgmarques,1046914313859076096,Directed,Tweets,9,,"<[2018-10-02T11:03:19.323Z, 2018-10-02T11:03:26.816Z, 2018-10-02T11:03:26.817Z, 2018-10-02T11:05:46.658Z, 2018-10-02T15:45:28.210Z]>",1
1046914313859076096,http://pbs.twimg.com/media/DodikO_W4AAlIf8.jpg,Directed,Has_media,10,,"<[2018-10-02T11:03:19.323Z, 2018-10-02T11:03:26.816Z, 2018-10-02T11:03:26.817Z, 2018-10-02T11:05:46.658Z, 2018-10-02T15:45:28.210Z]>",1
@myrioliveira,@georgmarques,Directed,Quotes_from,11,,"<[2018-10-02T11:03:19.323Z, 2018-10-02T11:03:26.816Z]>",1
@myrioliveira,1046914313859076096,Directed,Quotes,12,,"<[2018-10-02T11:03:19.323Z, 2018-10-02T11:03:26.816Z]>",1
@mayarabarros19,@myrioliveira,Directed,Retweets_from,13,,<[2018-10-02T11:03:19.322Z]>,1
@mayarabarros19,1047079304235032576,Directed,Retweets,14,,<[2018-10-02T11:03:19.322Z]>,1
@mayarabarros19,@georgmarques,Directed,Quotes_from,15,,<[2018-10-02T11:03:19.323Z]>,1
@mayarabarros19,1046914313859076096,Directed,Quotes,16,,<[2018-10-02T11:03:19.323Z]>,1
@zaltronivete,1047079575111569408,Directed,Tweets,17,,<[2018-10-02T11:03:19.408Z]>,1
@crissrc,1047065172681154561,Directed,Tweets,18,,"<[2018-10-02T11:03:19.410Z, 2018-10-02T11:04:00.435Z, 2018-10-02T11:05:02.925Z, 2018-10-02T11:05:32.611Z, 2018-10-02T11:08:03.344Z]>",1
1047065172681154561,"#somosbolsonaro17",Directed,Has_hashtag,19,,"<[2018-10-02T11:03:19.410Z, 2018-10-02T11:04:00.435Z, 2018-10-02T11:05:02.925Z, 2018-10-02T11:05:32.611Z, 2018-10-02T11:08:03.344Z]>",1
@zaltronivete,@crissrc,Directed,Retweets_from,20,,<[2018-10-02T11:03:19.410Z]>,1
@zaltronivete,1047065172681154561,Directed,Retweets,21,,<[2018-10-02T11:03:19.410Z]>,1
@toiaarantes,1047079575958827008,Directed,Tweets,22,,<[2018-10-02T11:03:19.597Z]>,1
1047079575958827008,http://pbs.twimg.com/ext_tw_video_thumb/1046904603361579009/pu/img/l8se42zTSAszihFx.jpg,Directed,Has_media,23,,<[2018-10-02T11:03:19.597Z]>,1
